:START_ID,has,:END_ID,:TYPE
c10002,has,m558,HAS
c10002,has,m559,HAS
c10002,has,m560,HAS
c10002,has,m561,HAS
c10002,has,m562,HAS
c10002,has,m563,HAS
c10002,has,m564,HAS
c10002,has,m565,HAS
c10002,has,m566,HAS
c10002,has,m567,HAS
c10002,has,m568,HAS
c10002,has,m569,HAS
c10002,has,m570,HAS
c10002,has,m571,HAS
c10002,has,m572,HAS
c10002,has,m573,HAS
c10002,has,m574,HAS
c10002,has,m575,HAS
c10002,has,m576,HAS
c10002,has,m577,HAS
c10002,has,m578,HAS
c10002,has,m579,HAS
c10002,has,m580,HAS
c10002,has,m581,HAS
c10002,has,m582,HAS
c10002,has,m583,HAS
c10002,has,m584,HAS
c10002,has,m585,HAS
c10002,has,m586,HAS
c10002,has,m587,HAS
c10002,has,m588,HAS
c10002,has,m589,HAS
c10002,has,m590,HAS
c10002,has,m591,HAS
c10002,has,m592,HAS
c10002,has,m593,HAS
c10002,has,m594,HAS
c10002,has,m595,HAS
c10002,has,m596,HAS
c10002,has,m597,HAS
c10002,has,m598,HAS
c10002,has,m599,HAS
c10002,has,m600,HAS
c10002,has,m601,HAS
c10002,has,m602,HAS
c10002,has,m603,HAS
c10002,has,m604,HAS
c10002,has,m605,HAS
c10002,has,m606,HAS
c10002,has,m607,HAS
c10002,has,m608,HAS
c10002,has,m609,HAS
c10002,has,m610,HAS
c10002,has,m611,HAS
c10002,has,m612,HAS
c10002,has,m613,HAS
c10002,has,m614,HAS
c10002,has,m615,HAS
c10002,has,m616,HAS
c10002,has,m617,HAS
c10002,has,m618,HAS
c10002,has,m619,HAS
c10002,has,m620,HAS
c10002,has,m621,HAS
c10002,has,m622,HAS
c10002,has,m623,HAS
c10002,has,m624,HAS
c10002,has,m625,HAS
c10002,has,m626,HAS
c10002,has,m627,HAS
c10002,has,m628,HAS
c10002,has,m629,HAS
c10002,has,m630,HAS
c10002,has,m631,HAS
c10002,has,m632,HAS
c10002,has,m633,HAS
c10002,has,m634,HAS
c10002,has,m635,HAS
c10002,has,m636,HAS
c10002,has,m637,HAS
c10002,has,m638,HAS
c10002,has,m639,HAS
c10002,has,m640,HAS
c10002,has,m641,HAS
c10002,has,m642,HAS
c10002,has,m643,HAS
c10002,has,m644,HAS
c10002,has,m645,HAS
c10002,has,m646,HAS
c10002,has,m647,HAS
c10002,has,m648,HAS
c10002,has,m649,HAS
c10002,has,m650,HAS
c10002,has,m651,HAS
c10002,has,m652,HAS
c10002,has,m653,HAS
c10002,has,m654,HAS
c10002,has,m655,HAS
c10002,has,m656,HAS
c10002,has,m657,HAS
c10002,has,m658,HAS
c10002,has,m659,HAS
c10002,has,m660,HAS
c10002,has,m661,HAS
c10002,has,m662,HAS
c10002,has,m663,HAS
c10002,has,m664,HAS
c10002,has,m665,HAS
c10002,has,m666,HAS
c10002,has,m667,HAS
c10002,has,m668,HAS
c10002,has,m669,HAS
c10002,has,m670,HAS
c10002,has,m671,HAS
